"ISSN","WH.","Location","Product ID","Curr Qty","Created Date","Company ID","Status","SSN Description"
27900204,"FX","RD000003","avo005",144,"2008-04-16 16:00:02","WOOL","DX","Avocado 22 5kg Shepard  "
27890207,"FX","DDFS0000","str003",40,"2008-04-16 15:26:40","FPGIMPORTS","DS","Strawberry USA 12 x 250gm   "
27880202,"FX","DDFS0000","str003",90,"2008-04-16 15:10:48","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27880101,"FX","DDFS0000","str005",96,"2008-04-16 15:10:14","FPGIMPORTS","DX","Strawberry USA Pint 5kg"
27835214,"FX","DDFS0000","tes002",8,"2008-04-15 08:21:01","TEST","DS","Fruit - test test test test   "
27835213,"FX","DDFS0000","tes002",12,"2008-04-15 08:19:31","TEST","DS","Fruit - test test test test   "
27835212,"FX","DDFS0000","tes002",10,"2008-04-15 08:18:16","TEST","DX","Fruit - test test test test   "
27835111,"FX","DDFS0000","tes001",7,"2008-04-15 08:16:27","TEST","DX","Fruit - test test test test   "
27835110,"FX","DDFS0000","tes001",10,"2008-04-15 08:15:14","TEST","DX","Fruit - test test test test   "
27835109,"FX","DDFS0000","tes001",18,"2008-04-15 08:13:37","TEST","DX","Fruit - test test test test   "
27820112,"FX","RD000002","gar012",98,"2008-04-15 07:33:05","FPGIMPORTS","DS","Garlic  Argentina 8   "
27820111,"FX","RD000002","gar012",100,"2008-04-15 07:33:05","FPGIMPORTS","DX","Garlic  Argentina 8   "
27820110,"FX","RD000002","gar012",100,"2008-04-15 07:33:05","FPGIMPORTS","DX","Garlic  Argentina 8   "
27820109,"FX","RD000002","gar012",100,"2008-04-15 07:33:05","FPGIMPORTS","DX","Garlic  Argentina 8   "
27820108,"FX","RD000002","gar012",100,"2008-04-15 07:33:05","FPGIMPORTS","DX","Garlic  Argentina 8   "
27820107,"FX","RD000002","gar012",100,"2008-04-15 07:33:05","FPGIMPORTS","DX","Garlic  Argentina 8   "
27820106,"FX","RD000002","gar012",100,"2008-04-15 07:33:05","FPGIMPORTS","DX","Garlic  Argentina 8   "
27820105,"FX","RD000002","gar012",100,"2008-04-15 07:33:05","FPGIMPORTS","DX","Garlic  Argentina 8   "
27820104,"FX","RD000002","gar012",100,"2008-04-15 07:33:05","FPGIMPORTS","DX","Garlic  Argentina 8   "
27820103,"FX","RD000002","gar012",100,"2008-04-15 07:33:05","FPGIMPORTS","DX","Garlic  Argentina 8   "
27820102,"FX","RD000002","gar012",100,"2008-04-15 07:33:05","FPGIMPORTS","DX","Garlic  Argentina 8   "
27820101,"FX","RD000002","gar012",100,"2008-04-15 07:33:05","FPGIMPORTS","DX","Garlic  Argentina 8   "
27810212,"FX","DDFS0000","sna001",6,"2008-04-15 05:54:12","FPGIMPORTS","DS","Sugar Snap China 2kg   "
27810210,"FX","DDFS0000","sna001",236,"2008-04-15 05:54:12","FPGIMPORTS","DS","Sugar Snap China 2kg   "
27810208,"FX","DDFS0000","sna001",304,"2008-04-15 05:54:12","FPGIMPORTS","DS","Sugar Snap China 2kg   "
27810207,"FX","DDFS0000","sna001",298,"2008-04-15 05:54:12","FPGIMPORTS","DS","Sugar Snap China 2kg   "
27810111,"FX","DDFS0000","sno001",304,"2008-04-15 05:52:54","FPGIMPORTS","DS","Snow Pea China 2kg   "
27810106,"FX","DDFS0000","sno001",68,"2008-04-15 05:52:54","FPGIMPORTS","DS","Snow Pea China 2kg   "
27810105,"FX","RD000001","sno001",304,"2008-04-15 05:52:54","FPGIMPORTS","DS","Snow Pea China 2kg   "
27810104,"FX","RD000001","sno001",304,"2008-04-15 05:52:54","FPGIMPORTS","DX","Snow Pea China 2kg   "
27810102,"FX","DDFS0000","sno001",284,"2008-04-15 05:52:54","FPGIMPORTS","DS","Snow Pea China 2kg   "
27810101,"FX","DDFS0000","sno001",284,"2008-04-15 05:52:54","FPGIMPORTS","DS","Snow Pea China 2kg   "
27800209,"FX","DDFS0000","mng003",96,"2008-04-14 17:14:12","FPGIMPORTS","DS","Mango Mexico 12  Freska "
27800205,"FX","DDFS0000","mng003",120,"2008-04-14 17:14:12","FPGIMPORTS","DS","Mango Mexico 12  Freska "
27800103,"FX","DDFS0000","mng002",120,"2008-04-14 17:13:11","FPGIMPORTS","DS","Mango Mexico 10  Freska "
27800102,"FX","DDFS0000","mng002",120,"2008-04-14 17:13:11","FPGIMPORTS","DS","Mango Mexico 10  Freska "
27800101,"FX","DDFS0000","mng002",120,"2008-04-14 17:13:11","FPGIMPORTS","DS","Mango Mexico 10  Freska "
27790106,"FX","DDFS0000","str003",90,"2008-04-14 16:22:16","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27790105,"FX","DDFS0000","str003",90,"2008-04-14 16:22:16","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27790104,"FX","DDFS0000","str003",90,"2008-04-14 16:22:16","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27790103,"FX","DDFS0000","str003",90,"2008-04-14 16:22:16","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27790102,"FX","DDFS0000","str003",90,"2008-04-14 16:22:16","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27790101,"FX","DDFS0000","str003",90,"2008-04-14 16:22:16","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27780106,"FX","DDFS0000","str003",90,"2008-04-14 16:19:15","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27780105,"FX","DDFS0000","str003",90,"2008-04-14 16:19:15","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27780104,"FX","DDFS0000","str003",90,"2008-04-14 16:19:15","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27780103,"FX","DDFS0000","str003",90,"2008-04-14 16:19:15","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27780102,"FX","DDFS0000","str003",90,"2008-04-14 16:19:15","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27780101,"FX","DDFS0000","str003",90,"2008-04-14 16:19:15","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27740206,"FX","DDFS0000","str003",90,"2008-04-14 12:23:02","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27740203,"FX","C3030101","str003",90,"2008-04-14 12:23:02","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27740202,"FX","DDFS0000","str003",90,"2008-04-14 12:23:02","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27740101,"FX","DDFS0000","str005",96,"2008-04-14 12:22:26","FPGIMPORTS","DS","Strawberry USA Pint 5kg"
27730204,"FX","DDFS0000","str003",90,"2008-04-14 12:17:50","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27730203,"FX","DDFS0000","str003",90,"2008-04-14 12:17:50","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27730101,"FX","DDFS0000","str005",96,"2008-04-14 12:17:18","FPGIMPORTS","DS","Strawberry USA Pint 5kg"
27710205,"FX","DDFS0000","asp009",40,"2008-04-13 10:32:31","FPGIMPORTS","DS","asparagus (large) 5kg   "
27710203,"FX","DDFS0000","asp009",120,"2008-04-13 10:32:31","FPGIMPORTS","DS","asparagus (large) 5kg   "
27710202,"FX","C5R10101","asp009",120,"2008-04-13 10:32:31","FPGIMPORTS","DS","asparagus (large) 5kg   "
27710101,"FX","DDFS0000","asp008",80,"2008-04-13 10:31:36","FPGIMPORTS","DS","asparagus (medium) 5kg"
27700106,"FX","DDFS0000","str003",90,"2008-04-12 16:05:28","FPGIMPORTS","DS","   "
27700105,"FX","DDFS0000","str003",90,"2008-04-12 16:05:28","FPGIMPORTS","DS","   "
27700104,"FX","DDFS0000","str003",90,"2008-04-12 16:05:28","FPGIMPORTS","DS","   "
27700103,"FX","RD000001","str003",90,"2008-04-12 16:05:28","FPGIMPORTS","DS","   "
27700102,"FX","RD000001","str003",90,"2008-04-12 16:05:28","FPGIMPORTS","DS","   "
27700101,"FX","RD000001","str003",90,"2008-04-12 16:05:28","FPGIMPORTS","DS","   "
27690106,"FX","RD000001","str003",90,"2008-04-12 16:01:29","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27690105,"FX","DDFS0000","str003",90,"2008-04-12 16:01:29","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27690104,"FX","RD000001","str003",90,"2008-04-12 16:01:29","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27690103,"FX","DDFS0000","str003",90,"2008-04-12 16:01:29","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27690102,"FX","DDFS0000","str003",90,"2008-04-12 16:01:29","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27690101,"FX","DDFS0000","str003",90,"2008-04-12 16:01:29","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27680208,"FX","DDFS0000","mng003",120,"2008-04-12 14:23:01","FPGIMPORTS","DS","Mango Mexico 12   "
27680207,"FX","DDFS0000","mng003",120,"2008-04-12 14:23:01","FPGIMPORTS","DS","Mango Mexico 12   "
27680102,"FX","DDFS0000","mng002",120,"2008-04-12 14:21:40","FPGIMPORTS","DS","Mango Mexico 10   "
27660119,"FX","RD000009","gar012",100,"2008-04-11 14:34:35","FPGIMPORTS","DS","   "
27660118,"FX","RD000009","gar012",100,"2008-04-11 14:34:35","FPGIMPORTS","DS","   "
27660117,"FX","RD000009","gar012",100,"2008-04-11 14:34:35","FPGIMPORTS","DX","   "
27660116,"FX","RD000009","gar012",100,"2008-04-11 14:34:35","FPGIMPORTS","DS","   "
27660115,"FX","RD000009","gar012",100,"2008-04-11 14:34:35","FPGIMPORTS","DS","   "
27660114,"FX","RD000009","gar012",100,"2008-04-11 14:34:35","FPGIMPORTS","DS","   "
27660113,"FX","RD000009","gar012",100,"2008-04-11 14:34:35","FPGIMPORTS","DS","   "
27660112,"FX","RD000009","gar012",100,"2008-04-11 14:34:35","FPGIMPORTS","DS","   "
27660111,"FX","RD000009","gar012",100,"2008-04-11 14:34:35","FPGIMPORTS","DS","   "
27660110,"FX","RD000009","gar012",100,"2008-04-11 14:34:35","FPGIMPORTS","DS","   "
27660109,"FX","RD000009","gar012",100,"2008-04-11 14:34:35","FPGIMPORTS","DS","   "
27660108,"FX","RD000009","gar012",100,"2008-04-11 14:34:35","FPGIMPORTS","DS","   "
27660107,"FX","RD000009","gar012",100,"2008-04-11 14:34:35","FPGIMPORTS","DS","   "
27660106,"FX","RD000009","gar012",100,"2008-04-11 14:34:35","FPGIMPORTS","DS","   "
27660105,"FX","RD000009","gar012",100,"2008-04-11 14:34:35","FPGIMPORTS","DS","   "
27660104,"FX","RD000009","gar012",100,"2008-04-11 14:34:35","FPGIMPORTS","DS","   "
27660103,"FX","RD000009","gar012",100,"2008-04-11 14:34:35","FPGIMPORTS","DS","   "
27660102,"FX","RD000009","gar012",100,"2008-04-11 14:34:35","FPGIMPORTS","DS","   "
27660101,"FX","RD000009","gar012",100,"2008-04-11 14:34:35","FPGIMPORTS","DS","   "
27650206,"FX","DDFS0000","str003",90,"2008-04-11 12:57:58","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27650205,"FX","DDFS0000","str003",90,"2008-04-11 12:57:58","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27650204,"FX","DDFS0000","str003",90,"2008-04-11 12:57:58","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27650203,"FX","DDFS0000","str003",90,"2008-04-11 12:57:58","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27650102,"FX","DDFS0000","str005",90,"2008-04-11 12:55:46","FPGIMPORTS","DS","Strawberry USA Pint 5kg"
27650101,"FX","DDFS0000","str005",90,"2008-04-11 12:55:46","FPGIMPORTS","DS","Strawberry USA Pint 5kg"
27630106,"FX","DDFS0000","str003",90,"2008-04-11 12:39:09","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27630105,"FX","DDFS0000","str003",90,"2008-04-11 12:39:09","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27630104,"FX","DDFS0000","str003",90,"2008-04-11 12:39:09","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27630103,"FX","DDFS0000","str003",90,"2008-04-11 12:39:09","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27630102,"FX","DDFS0000","str003",90,"2008-04-11 12:39:09","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27630101,"FX","DDFS0000","str003",90,"2008-04-11 12:39:09","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27620120,"FX","DDFS0000","ora002",54,"2008-04-11 04:34:54","FPGIMPORTS","DS","Navel USA 18kg 72"
27620119,"FX","DDFS0000","ora002",54,"2008-04-11 04:34:54","FPGIMPORTS","DS","Navel USA 18kg 72"
27620118,"FX","DDFS0000","ora002",54,"2008-04-11 04:34:54","FPGIMPORTS","DS","Navel USA 18kg 72"
27620117,"FX","DDFS0000","ora002",54,"2008-04-11 04:34:54","FPGIMPORTS","DS","Navel USA 18kg 72"
27620116,"FX","DDFS0000","ora002",54,"2008-04-11 04:34:54","FPGIMPORTS","DS","Navel USA 18kg 72"
27620115,"FX","DDFS0000","ora002",54,"2008-04-11 04:34:54","FPGIMPORTS","DS","Navel USA 18kg 72"
27620114,"FX","DDFS0000","ora002",54,"2008-04-11 04:34:54","FPGIMPORTS","DS","Navel USA 18kg 72"
27620113,"FX","DDFS0000","ora002",54,"2008-04-11 04:34:54","FPGIMPORTS","DS","Navel USA 18kg 72"
27620112,"FX","DDFS0000","ora002",54,"2008-04-11 04:34:54","FPGIMPORTS","DS","Navel USA 18kg 72"
27620111,"FX","DDFS0000","ora002",54,"2008-04-11 04:34:54","FPGIMPORTS","DS","Navel USA 18kg 72"
27620110,"FX","DDFS0000","ora002",54,"2008-04-11 04:34:54","FPGIMPORTS","DS","Navel USA 18kg 72"
27620109,"FX","DDFS0000","ora002",54,"2008-04-11 04:34:54","FPGIMPORTS","DS","Navel USA 18kg 72"
27620108,"FX","DDFS0000","ora002",54,"2008-04-11 04:34:54","FPGIMPORTS","DS","Navel USA 18kg 72"
27620107,"FX","DDFS0000","ora002",54,"2008-04-11 04:34:54","FPGIMPORTS","DS","Navel USA 18kg 72"
27620106,"FX","DDFS0000","ora002",54,"2008-04-11 04:34:54","FPGIMPORTS","DS","Navel USA 18kg 72"
27620105,"FX","DDFS0000","ora002",54,"2008-04-11 04:34:54","FPGIMPORTS","DS","Navel USA 18kg 72"
27620104,"FX","DDFS0000","ora002",54,"2008-04-11 04:34:54","FPGIMPORTS","DS","Navel USA 18kg 72"
27620103,"FX","DDFS0000","ora002",54,"2008-04-11 04:34:54","FPGIMPORTS","DS","Navel USA 18kg 72"
27620102,"FX","DDFS0000","ora002",54,"2008-04-11 04:34:54","FPGIMPORTS","DS","Navel USA 18kg 72"
27620101,"FX","DDFS0000","ora002",54,"2008-04-11 04:34:54","FPGIMPORTS","DS","Navel USA 18kg 72"
27610106,"FX","DDFS0000","str003",90,"2008-04-10 15:45:20","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27610104,"FX","DDFS0000","str003",90,"2008-04-10 15:45:20","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27610103,"FX","DDFS0000","str003",90,"2008-04-10 15:45:20","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27610102,"FX","DDFS0000","str003",90,"2008-04-10 15:45:20","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27610101,"FX","DDFS0000","str003",90,"2008-04-10 15:45:20","FPGIMPORTS","DS","Strawberry USA 12 x 250gm"
27590106,"FX","RD000001","asp003",80,"2008-04-10 13:15:35","FPGIMPORTS","DX","Asparagus (27) 5kg Large  "
27590105,"FX","DDFS0000","asp003",80,"2008-04-10 13:15:35","FPGIMPORTS","DS","Asparagus (27) 5kg Large  "
27590103,"FX","DDFS0000","asp003",100,"2008-04-10 13:15:35","FPGIMPORTS","DS","Asparagus (27) 5kg Large  "
27590101,"FX","DDFS0000","asp003",100,"2008-04-10 13:15:35","FPGIMPORTS","DS","Asparagus (27) 5kg Large  "
27580103,"FX","DDFS0000","tes001",100,"2008-04-10 13:08:02","FPGIMPORTS","DS","Fruit - test test test test"
27550106,"FX","DDFS0000","ora002",27,"2008-04-10 09:14:21","FPGIMPORTS","DS","Navel USA 18kg 72   "
27550105,"FX","DDFS0000","ora002",45,"2008-04-10 09:14:21","FPGIMPORTS","DS","Navel USA 18kg 72   "
27550104,"FX","DDFS0000","ora002",45,"2008-04-10 09:14:21","FPGIMPORTS","DS","Navel USA 18kg 72   "
27550103,"FX","DDFS0000","ora002",45,"2008-04-10 09:14:21","FPGIMPORTS","DS","Navel USA 18kg 72   "
27550102,"FX","DDFS0000","ora002",45,"2008-04-10 09:14:21","FPGIMPORTS","DS","Navel USA 18kg 72   "
27550101,"FX","DDFS0000","ora002",45,"2008-04-10 09:14:21","FPGIMPORTS","DS","Navel USA 18kg 72   "
27540102,"FX","DDFS0000","ora002",45,"2008-04-10 09:09:56","FPGIMPORTS","DS","Navel USA 18kg 72   "
27520106,"FX","DDFS0000","ora002",63,"2008-04-09 12:27:04","FPGIMPORTS","DS","Navel USA 18kg 72"
27520105,"FX","DDFS0000","ora002",63,"2008-04-09 12:27:04","FPGIMPORTS","DS","Navel USA 18kg 72"
27520104,"FX","DDFS0000","ora002",63,"2008-04-09 12:27:04","FPGIMPORTS","DS","Navel USA 18kg 72"
27520103,"FX","DDFS0000","ora002",63,"2008-04-09 12:27:04","FPGIMPORTS","DS","Navel USA 18kg 72"
